"Downloaded on",04/11/2024,"01:52:02 EDT"
"Search URL",https://www.congress.gov/search?q=%7B%22search%22%3A%22gun%22%2C%22congress%22%3A%5B%22117%22%2C%22116%22%2C%22115%22%2C%22114%22%2C%22113%22%2C%22112%22%2C%22111%22%2C%22110%22%2C%22109%22%2C%22108%22%2C%22107%22%2C%22106%22%2C%22105%22%2C%22104%22%2C%22103%22%2C%22102%22%2C%22101%22%5D%2C%22source%22%3A%22legislation%22%2C%22bill-status%22%3A%22all%22%7D

,"Resize row height to view Amendment Text (Latest) as Excel may have collapsed cells with large texts."

"Legislation Number",URL,Congress,Title,"Party of Sponsor","Date of Introduction"
"H.R. 6313",https://www.congress.gov/bill/117th-congress/house-bill/6313,"117th Congress (2021-2022)","To designate the Department of Veterans Affairs community-based outpatient clinic in French Camp, California, as the ""Richard A. Pittman Department of Veterans Affairs Health Care Clinic"".",Democratic,12/16/2021
"H.R. 748",https://www.congress.gov/bill/117th-congress/house-bill/748,"117th Congress (2021-2022)","Ethan's Law",Democratic,02/03/2021
"H.R. 8741",https://www.congress.gov/bill/117th-congress/house-bill/8741,"117th Congress (2021-2022)","Firearm Industry Fairness Act",Democratic,08/23/2022
"H.Res. 1317",https://www.congress.gov/bill/117th-congress/house-resolution/1317,"117th Congress (2021-2022)","Expressing support for the designation of November 20, 2022, through December 20, 2022, as ""National Survivors of Homicide Victims Awareness Month"".",Democratic,08/12/2022
"H.R. 8374",https://www.congress.gov/bill/117th-congress/house-bill/8374,"117th Congress (2021-2022)","Shall Not Be Infringed Act",Republican,07/14/2022
"H.R. 7944",https://www.congress.gov/bill/117th-congress/house-bill/7944,"117th Congress (2021-2022)","To name the Department of Veterans Affairs community-based outpatient clinic to be constructed in Toms River, New Jersey, the Leonard G. 'Bud' Lomell, Jr. VA Clinic, and for other purposes.",Republican,06/03/2022
"H.R. 6990",https://www.congress.gov/bill/117th-congress/house-bill/6990,"117th Congress (2021-2022)","Doris Miller Congressional Gold Medal Act",Democratic,03/08/2022
"H.R. 8740",https://www.congress.gov/bill/117th-congress/house-bill/8740,"117th Congress (2021-2022)","Firearm Industry Crime and Trafficking Accountability Act",Democratic,08/23/2022
"S.Res. 711",https://www.congress.gov/bill/117th-congress/senate-resolution/711,"117th Congress (2021-2022)","A resolution expressing the condolences of the Senate and honoring the memory of the victims of the mass shooting at the Fourth of July parade in Highland Park, Illinois, on July 4, 2022.",Democratic,07/14/2022
"H.R. 5428",https://www.congress.gov/bill/117th-congress/house-bill/5428,"117th Congress (2021-2022)","School Shooting Safety and Preparedness Act",Democratic,09/29/2021
"S. 2908",https://www.congress.gov/bill/117th-congress/senate-bill/2908,"117th Congress (2021-2022)","SECURE Firearm Storage Act",Democratic,09/30/2021
"H.R. 5465",https://www.congress.gov/bill/117th-congress/house-bill/5465,"117th Congress (2021-2022)","SECURE Firearm Storage Act",Democratic,09/30/2021
"H.R. 4139",https://www.congress.gov/bill/117th-congress/house-bill/4139,"117th Congress (2021-2022)","Lori Jackson-Nicolette Elias Domestic Violence Survivor Protection Act",Democratic,06/24/2021
"S. 2169",https://www.congress.gov/bill/117th-congress/senate-bill/2169,"117th Congress (2021-2022)","Lori Jackson-Nicolette Elias Domestic Violence Survivor Protection Act",Democratic,06/22/2021
"H.R. 8023",https://www.congress.gov/bill/117th-congress/house-bill/8023,"117th Congress (2021-2022)","Don Young Arctic Warrior Act",Democratic,06/09/2022
"S. 4162",https://www.congress.gov/bill/117th-congress/senate-bill/4162,"117th Congress (2021-2022)","School Shooting Safety and Preparedness Act",Democratic,05/09/2022
"H.R. 9441",https://www.congress.gov/bill/117th-congress/house-bill/9441,"117th Congress (2021-2022)","Identifying Mass Shooters Act",Democratic,12/06/2022
"H.R. 225",https://www.congress.gov/bill/117th-congress/house-bill/225,"117th Congress (2021-2022)","To amend chapter 44 of title 18, United States Code, to more comprehensively address the interstate transportation of firearms or ammunition.",Republican,01/06/2021
"S. 525",https://www.congress.gov/bill/117th-congress/senate-bill/525,"117th Congress (2021-2022)","Lawful Interstate Transportation of Firearms Act",Republican,03/02/2021
"H.R. 1680",https://www.congress.gov/bill/117th-congress/house-bill/1680,"117th Congress (2021-2022)","Lawful Interstate Transportation of Firearms Act",Republican,03/09/2021
"H.Res. 927",https://www.congress.gov/bill/117th-congress/house-resolution/927,"117th Congress (2021-2022)","Expressing the condolences of the House of Representatives and honoring the memory of the victims of the mass shooting in Aurora, Illinois, on February 15, 2019.",Democratic,02/15/2022
"H.R. 3432",https://www.congress.gov/bill/117th-congress/house-bill/3432,"117th Congress (2021-2022)","School Safety Drill Research Act of 2021",Democratic,05/20/2021
"H.R. 7537",https://www.congress.gov/bill/117th-congress/house-bill/7537,"117th Congress (2021-2022)","Help for Healing Communities Act",Democratic,04/18/2022
"H.R. 1446",https://www.congress.gov/bill/117th-congress/house-bill/1446,"117th Congress (2021-2022)","Enhanced Background Checks Act of 2021",Democratic,03/01/2021
"H.Res. 1229",https://www.congress.gov/bill/117th-congress/house-resolution/1229,"117th Congress (2021-2022)","Honoring the victims of the shooting that occurred on July 4, 2022, in Highland Park, Illinois.",Democratic,07/14/2022
"S. 1872",https://www.congress.gov/bill/117th-congress/senate-bill/1872,"117th Congress (2021-2022)","United States Army Rangers Veterans of World War II Congressional Gold Medal Act",Republican,05/27/2021
"H.R. 1111",https://www.congress.gov/bill/117th-congress/house-bill/1111,"117th Congress (2021-2022)","Department of Peacebuilding Act of 2021",Democratic,02/18/2021
"H.R. 5768",https://www.congress.gov/bill/117th-congress/house-bill/5768,"117th Congress (2021-2022)","VICTIM Act of 2022",Democratic,10/28/2021
"H.R. 3015",https://www.congress.gov/bill/117th-congress/house-bill/3015,"117th Congress (2021-2022)","Raise the Age Act",Democratic,05/07/2021
"H.Res. 403",https://www.congress.gov/bill/117th-congress/house-resolution/403,"117th Congress (2021-2022)","Providing for consideration of the bill (H.R. 1629) to amend the Federal Food, Drug, and Cosmetic Act with respect to limitations on exclusive approval or licensure of orphan drugs, and for other purposes; providing for consideration of the resolution (H. Res. 275) condemning the horrific shootings in Atlanta, Georgia, on March 16, 2021, and reaffirming the House of Representative's commitment to combating hate, bigotry, and violence against the Asian-American and Pacific Islander community; and for other purposes.",Democratic,05/17/2021
"S. 1101",https://www.congress.gov/bill/117th-congress/senate-bill/1101,"117th Congress (2021-2022)","SHUSH Act",Republican,04/13/2021
"S. 4986",https://www.congress.gov/bill/117th-congress/senate-bill/4986,"117th Congress (2021-2022)","SHORT Act",Republican,09/28/2022
"H.R. 2469",https://www.congress.gov/bill/117th-congress/house-bill/2469,"117th Congress (2021-2022)","Silencers Help Us Save Hearing Act",Republican,04/13/2021
"H.R. 1013",https://www.congress.gov/bill/117th-congress/house-bill/1013,"117th Congress (2021-2022)","Protect Our Military Families’ 2nd Amendment Rights Act",Republican,02/11/2021
"H.R. 9033",https://www.congress.gov/bill/117th-congress/house-bill/9033,"117th Congress (2021-2022)","SHORT Act",Republican,09/29/2022
"S.Res. 668",https://www.congress.gov/bill/117th-congress/senate-resolution/668,"117th Congress (2021-2022)","A resolution designating June 12, 2022, as ""Women Veterans Appreciation Day"".",Democratic,06/09/2022
"H.R. 8271",https://www.congress.gov/bill/117th-congress/house-bill/8271,"117th Congress (2021-2022)","ATF DATA Act",Democratic,07/01/2022
"S.J.Res. 49",https://www.congress.gov/bill/117th-congress/senate-joint-resolution/49,"117th Congress (2021-2022)","A joint resolution providing for congressional disapproval of the proposed foreign military sale to the Government of Australia of certain defense articles and services.",Republican,06/06/2022
"S.Res. 802",https://www.congress.gov/bill/117th-congress/senate-resolution/802,"117th Congress (2021-2022)","A resolution condemning any attempts by Russia to claim sovereignty over any portion of Ukraine.",Republican,09/28/2022
"S.J.Res. 52",https://www.congress.gov/bill/117th-congress/senate-joint-resolution/52,"117th Congress (2021-2022)","A joint resolution providing for congressional disapproval of the proposed foreign military sale to the Government of Egypt of certain defense articles and services.",Republican,06/07/2022
"H.Res. 53",https://www.congress.gov/bill/117th-congress/house-resolution/53,"117th Congress (2021-2022)","Maintaining North Korea's seizure of the vessel USS Pueblo and its detention of the crew were in violation of international law and seeking the return of the USS Pueblo to the United States.",Republican,01/19/2021
"S. 4402",https://www.congress.gov/bill/117th-congress/senate-bill/4402,"117th Congress (2021-2022)","Violent Incident Clearance and Technological Investigative Methods Act of 2022",Democratic,06/14/2022
"H.R. 3577",https://www.congress.gov/bill/117th-congress/house-bill/3577,"117th Congress (2021-2022)","United States Army Rangers Veterans of World War II Congressional Gold Medal Act",Democratic,05/28/2021
"S.Res. 771",https://www.congress.gov/bill/117th-congress/senate-resolution/771,"117th Congress (2021-2022)","A resolution supporting the designation of September 19, 2022, as ""National Stillbirth Prevention Day"", recognizing tens of thousands of American families that have endured a stillbirth, and seizing the opportunity to keep other families from experiencing the same tragedy.",Democratic,09/19/2022
"S.Res. 775",https://www.congress.gov/bill/117th-congress/senate-resolution/775,"117th Congress (2021-2022)","A resolution expressing the sense of the Senate that violence and threats of violence against the employees of the Federal Bureau of Investigation are unacceptable and should be condemned.",Democratic,09/20/2022
"H.R. 4136",https://www.congress.gov/bill/117th-congress/house-bill/4136,"117th Congress (2021-2022)","Responsible Ownership of Firearms Act of 2021",Democratic,06/24/2021
"H.Res. 1363",https://www.congress.gov/bill/117th-congress/house-resolution/1363,"117th Congress (2021-2022)","Supporting the designation of September 19, 2022, as ""National Stillbirth Prevention Day"", recognizing tens of thousands of American families that have endured a stillbirth, and seizing the opportunity to keep other families from experiencing the same tragedy.",Democratic,09/19/2022
"H.Res. 1532",https://www.congress.gov/bill/117th-congress/house-resolution/1532,"117th Congress (2021-2022)","Impeaching Joseph R. Biden.",Republican,12/27/2022
"H.Res. 1436",https://www.congress.gov/bill/117th-congress/house-resolution/1436,"117th Congress (2021-2022)","Expressing the sense of the House of Representatives that New York State's Concealed Carry Improvement Act is unconstitutional.",Republican,10/14/2022
"H.Res. 327",https://www.congress.gov/bill/117th-congress/house-resolution/327,"117th Congress (2021-2022)","Expel Maxine Waters Resolution for Incitement of Violence and Rioting against the United States",Republican,04/19/2021
"H.Res. 543",https://www.congress.gov/bill/117th-congress/house-resolution/543,"117th Congress (2021-2022)","Expressing support for the designation of July 20, 2021, as ""National Heroes Day"" to honor the sacrifices of everyday heroes who save lives and improve their communities.",Democratic,07/20/2021
"H.R. 7730",https://www.congress.gov/bill/117th-congress/house-bill/7730,"117th Congress (2021-2022)","Blair Holt Firearm Owner Licensing and Record of Sale Act of 2022",Democratic,05/11/2022
"S. 4184",https://www.congress.gov/bill/117th-congress/senate-bill/4184,"117th Congress (2021-2022)","Blair Holt Firearm Owner Licensing and Record of Sale Act of 2022",Democratic,05/11/2022
"H.R. 1691",https://www.congress.gov/bill/117th-congress/house-bill/1691,"117th Congress (2021-2022)","Second Amendment Protection Act",Republican,03/09/2021
"H.Res. 1242",https://www.congress.gov/bill/117th-congress/house-resolution/1242,"117th Congress (2021-2022)","Expressing support for the designation of July 20, 2022, as ""National Heroes Day"" to honor the sacrifices of everyday heroes who save lives and improve their communities.",Democratic,07/20/2022
"H.Res. 226",https://www.congress.gov/bill/117th-congress/house-resolution/226,"117th Congress (2021-2022)","Recognizing that the United States has a moral obligation to meet its foundational promise of guaranteed justice for all.",Democratic,03/11/2021
"H.Res. 798",https://www.congress.gov/bill/117th-congress/house-resolution/798,"117th Congress (2021-2022)","Expressing the sense of the House of Representatives regarding the relationship between firearm violence and intimate partner violence and to honor the memory of Gladys Ricart and other victims of intimate partner homicide killed by firearms, and for other purposes.",Democratic,11/17/2021
"H.Res. 1522",https://www.congress.gov/bill/117th-congress/house-resolution/1522,"117th Congress (2021-2022)","Condemning the horrific attack on November 19, 2022, at Club Q, honoring the memories of those who were murdered, and offering support to all who were impacted.",Democratic,12/14/2022
"S.Res. 118",https://www.congress.gov/bill/117th-congress/senate-resolution/118,"117th Congress (2021-2022)","A resolution honoring Army chaplain Emil J. Kapaun.",Republican,03/16/2021
"H.Res. 205",https://www.congress.gov/bill/117th-congress/house-resolution/205,"117th Congress (2021-2022)","Honoring Army Chaplain Emil J. Kapaun.",Republican,03/09/2021
"H.R. 1210",https://www.congress.gov/bill/117th-congress/house-bill/1210,"117th Congress (2021-2022)","LEOSA Reform Act",Republican,02/23/2021
"S. 1610",https://www.congress.gov/bill/117th-congress/senate-bill/1610,"117th Congress (2021-2022)","LEOSA Reform Act",Republican,05/13/2021
"S. 1073",https://www.congress.gov/bill/117th-congress/senate-bill/1073,"117th Congress (2021-2022)","Remove the Stain Act",Democratic,04/12/2021
"H.R. 2226",https://www.congress.gov/bill/117th-congress/house-bill/2226,"117th Congress (2021-2022)","Remove the Stain Act",Democratic,03/26/2021
"S. 5082",https://www.congress.gov/bill/117th-congress/senate-bill/5082,"117th Congress (2021-2022)","Sanction Xi Jinping for Xinjiang Atrocities Act",Republican,11/14/2022
"S. 4435",https://www.congress.gov/bill/117th-congress/senate-bill/4435,"117th Congress (2021-2022)","FIND Act",Republican,06/21/2022
"H.R. 1604",https://www.congress.gov/bill/117th-congress/house-bill/1604,"117th Congress (2021-2022)","STOP Straw Purchases Act",Republican,03/08/2021
"H.R. 8009",https://www.congress.gov/bill/117th-congress/house-bill/8009,"117th Congress (2021-2022)","Student and Teacher Safety Act of 2022",Republican,06/09/2022
"S.Res. 874",https://www.congress.gov/bill/117th-congress/senate-resolution/874,"117th Congress (2021-2022)","A resolution expressing the sense of the Senate that the activities of transnational criminal organizations, including the use of illicit economies, illicit trade, and trade-based money laundering, pose a risk to the interests of the United States and allies and partners of the United States around the world.",Republican,12/19/2022
"H.R. 2567",https://www.congress.gov/bill/117th-congress/house-bill/2567,"117th Congress (2021-2022)","Master Sergeant Roddie Edmonds Congressional Gold Medal Act",Republican,04/15/2021
"H.Res. 662",https://www.congress.gov/bill/117th-congress/house-resolution/662,"117th Congress (2021-2022)","Honoring the victims resulting from hate crimes, Islamophobia and anti-immigrant sentiment, in the aftermath of September 11, 2001, where individuals were targeted by violence and hatred because they were Muslim or perceived to be Muslim.",Democratic,09/20/2021
"S. 1134",https://www.congress.gov/bill/117th-congress/senate-bill/1134,"117th Congress (2021-2022)","Master Sergeant Roddie Edmonds Congressional Gold Medal Act",Republican,04/15/2021
"S.Res. 241",https://www.congress.gov/bill/117th-congress/senate-resolution/241,"117th Congress (2021-2022)","A resolution widening threats to freedom of the press and free expression around the world, and reaffirming the vital role that a free and independent press plays in informing local and international audiences about public health crises, countering misinformation and disinformation, and furthering discourse and debate to advance healthy democracies in commemoration of World Press Freedom Day on May 3, 2021.",Democratic,05/26/2021
"H.R. 6970",https://www.congress.gov/bill/117th-congress/house-bill/6970,"117th Congress (2021-2022)","FIND Act",Republican,03/08/2022
"S.Res. 267",https://www.congress.gov/bill/117th-congress/senate-resolution/267,"117th Congress (2021-2022)","A resolution designating June 12, 2021, as ""Women Veterans Appreciation Day"".",Democratic,06/10/2021
"S.Res. 610",https://www.congress.gov/bill/117th-congress/senate-resolution/610,"117th Congress (2021-2022)","A resolution expressing the sense of Congress that the activities of transnational criminal organizations, including the use of illicit economies, illicit trade, and trade-based money laundering, pose a threat to the national interests and national security of the United States and allies and partners of the United States around the world.",Republican,05/03/2022
