Classification,Sentiment Scores
control,-0.7579
control,-0.9842
control,-0.9842
control,-0.7906
control,-0.946
control,0.836
control,0.9849
control,-0.9543
control,0.9049
control,-0.9878
control,0.9141
control,0.9984
control,-0.994
control,-0.986
control,-0.986
control,-0.8807
control,-0.9349
control,0.9998
control,0.9938
control,-0.3664
control,-0.8788
control,0.9995
control,0.6808
control,0.6808
control,0.9995
control,-0.9828
control,0.9807
control,-0.9701
control,0.9953
control,0.9873
control,-0.5994
control,0.9904
control,0.9818
control,0.9859
control,-0.7886
control,0.7172
control,0.9883
control,0.7172
control,0.9936
control,0.988
control,-0.948
control,0.9966
control,0.993
control,-0.9879
control,0.9901
control,0.9954
control,1.0
control,-0.9926
control,0.9951
control,-0.9932
control,0.2284
control,-0.3594
control,0.9905
control,-0.6037
control,0.9982
control,0.9982
control,-0.9997
control,0.5671
control,-0.4342
control,-0.9739
control,-0.9998
control,-0.9991
control,-0.9779
control,0.9595
control,0.8455
control,-0.9468
control,-0.8798
control,0.3062
control,0.9349
control,0.93
control,-0.9996
control,0.9967
control,0.998
control,0.998
control,1.0
control,-0.9999
control,-0.9999
control,-0.9999
control,-0.9999
control,-0.9999
control,-1.0
control,-1.0
control,-0.9999
control,-0.9999
control,1.0
control,1.0
control,1.0
control,1.0
control,1.0
control,1.0
control,1.0
control,1.0
control,1.0
control,1.0
control,1.0
control,1.0
control,1.0
control,1.0
control,1.0
control,-0.9989
control,-0.9989
control,-0.9992
control,-0.9987
control,-0.4404
control,-0.9989
control,-0.9984
control,-0.9997
control,-0.9997
control,-0.9988
control,0.0618
control,-1.0
control,-0.9989
control,-0.8779
control,0.9753
control,-0.8868
control,-0.8868
control,-0.9664
control,-0.9879
control,-0.6896
control,-0.9496
control,0.9592
control,-0.9175
control,-0.9271
control,-0.9271
control,-0.9512
control,0.4205
control,-0.9968
control,-0.9883
control,-0.872
control,-0.872
control,-0.3818
control,-0.9965
control,0.9291
control,0.9864
control,-0.9466
control,-0.9873
control,-0.9992
control,-0.4466
control,0.8668
control,0.9509
control,0.9509
control,-0.7579
control,0.7906
control,0.9978
control,0.9978
control,-0.9928
control,0.4767
control,-0.9543
control,-0.9983
control,-0.9821
control,0.9049
control,-0.9821
control,0.9141
control,-0.9953
control,0.9984
control,0.9984
control,0.3885
